store_key,store_id,store_name,city,state,region,store_type,store_size
1,1,Walmart Central,Delhi,Delhi,North,Supercenter,50000
2,2,Walmart Downtown,Chandigarh,Chandigarh,North,Hypermarket,65000
3,3,Walmart Plaza,Jaipur,Jaipur,North,Express,80000
4,4,Walmart Market,Lucknow,Lucknow,North,Neighborhood,45000
5,5,Walmart Supercenter,Dehradun,Dehradun,North,Supercenter,70000
6,6,Walmart Express,Amritsar,Amritsar,North,Hypermarket,55000
7,7,Walmart Central,Bengaluru,Bengaluru,South,Supercenter,50000
8,8,Walmart Downtown,Chennai,Chennai,South,Hypermarket,65000
9,9,Walmart Plaza,Hyderabad,Hyderabad,South,Express,80000
10,10,Walmart Market,Kochi,Kochi,South,Neighborhood,45000
11,11,Walmart Supercenter,Mysuru,Mysuru,South,Supercenter,70000
12,12,Walmart Express,Coimbatore,Coimbatore,South,Hypermarket,55000
13,13,Walmart Central,Kolkata,Kolkata,East,Supercenter,50000
14,14,Walmart Downtown,Bhubaneswar,Bhubaneswar,East,Hypermarket,65000
15,15,Walmart Plaza,Patna,Patna,East,Express,80000
16,16,Walmart Market,Ranchi,Ranchi,East,Neighborhood,45000
17,17,Walmart Supercenter,Guwahati,Guwahati,East,Supercenter,70000
18,18,Walmart Express,Siliguri,Siliguri,East,Hypermarket,55000
19,19,Walmart Central,Mumbai,Mumbai,West,Supercenter,50000
20,20,Walmart Downtown,Pune,Pune,West,Hypermarket,65000
21,21,Walmart Plaza,Surat,Surat,West,Express,80000
22,22,Walmart Market,Ahmedabad,Ahmedabad,West,Neighborhood,45000
23,23,Walmart Supercenter,Nashik,Nashik,West,Supercenter,70000
24,24,Walmart Express,Nagpur,Nagpur,West,Hypermarket,55000
