sales_key,date_key,customer_key,store_key,product_key,quantity,unit_price,item_discount,line_total,promotion
1,20260715,130,19,14,2,199.76,29.96,339.59,0.00
2,20260821,132,14,12,2,269.11,0.00,538.22,0.00
3,20260813,187,3,16,4,505.66,25.28,1921.51,0.00
4,20260406,60,21,2,4,3061.98,306.20,11023.13,0.00
5,20260629,143,18,35,4,250.64,25.06,902.30,0.00
6,20260804,78,8,35,1,250.64,12.53,238.11,0.00
7,20260107,51,8,22,4,3028.92,0.00,12115.68,0.00
8,20261030,182,22,8,4,1136.39,113.64,4091.00,0.00
9,20260213,49,15,13,5,392.05,0.00,1960.25,0.00
10,20260608,133,20,6,3,572.05,0.00,1716.15,0.00
11,20260507,40,22,8,1,1136.39,113.64,1022.75,0.00
12,20260512,17,4,16,5,505.66,25.28,2401.89,0.00
13,20260614,83,15,35,1,250.64,0.00,250.64,0.00
14,20260820,144,15,6,3,572.05,28.60,1630.34,0.00
15,20260920,15,23,11,5,508.89,0.00,2544.45,0.00
16,20260506,9,5,23,1,16268.02,0.00,16268.02,0.00
17,20260213,146,18,3,3,1046.07,104.61,2824.39,0.00
18,20260721,142,16,31,3,2187.92,109.40,6235.57,0.00
19,20260326,106,14,39,4,1191.21,119.12,4288.36,0.00
20,20260405,167,21,23,1,16268.02,0.00,16268.02,0.00
21,20260712,186,16,31,5,2187.92,0.00,10939.60,0.00
22,20260815,78,20,26,1,4860.09,243.00,4617.09,0.00
23,20260915,132,9,25,2,2914.87,145.74,5538.25,0.00
24,20261014,165,6,27,1,4721.70,708.26,4013.44,0.00
25,20261120,98,17,13,5,392.05,19.60,1862.24,0.00
26,20261124,72,6,30,3,608.05,30.40,1732.94,0.00
27,20261110,81,14,13,1,392.05,58.81,333.24,0.00
28,20261202,144,16,33,2,529.26,26.46,1005.59,0.00
29,20260529,68,23,37,5,157.45,0.00,787.25,0.00
30,20260612,126,13,21,1,8200.26,0.00,8200.26,0.00
31,20260315,187,13,32,4,4212.19,631.83,14321.45,0.00
32,20261013,12,20,30,3,608.05,0.00,1824.15,0.00
33,20260409,170,24,3,3,1046.07,156.91,2667.48,0.00
34,20261230,127,4,30,3,608.05,30.40,1732.94,0.00
35,20260729,122,1,35,5,250.64,12.53,1190.54,0.00
36,20260904,194,9,18,2,57972.29,0.00,115944.58,0.00
37,20260328,27,9,31,5,2187.92,109.40,10392.62,0.00
38,20260710,148,7,20,1,41369.75,2068.49,39301.26,0.00
39,20260919,61,12,30,2,608.05,0.00,1216.10,0.00
40,20260825,52,11,29,2,807.07,80.71,1452.73,0.00
41,20260603,160,1,8,4,1136.39,170.46,3863.73,0.00
42,20261218,20,9,38,3,1104.26,0.00,3312.78,0.00
43,20260611,51,23,17,3,4838.04,483.80,13062.71,0.00
44,20260930,149,6,3,1,1046.07,104.61,941.46,0.00
45,20261001,22,19,35,3,250.64,0.00,751.92,0.00
46,20261108,129,24,28,2,3150.34,0.00,6300.68,0.00
47,20260626,151,21,39,2,1191.21,0.00,2382.42,0.00
48,20261203,173,8,40,5,633.93,31.70,3011.17,0.00
49,20261231,100,3,6,1,572.05,0.00,572.05,0.00
50,20260228,150,14,39,2,1191.21,119.12,2144.18,0.00
51,20260225,104,2,1,5,1810.89,0.00,9054.45,0.00
52,20260225,117,15,1,3,1810.89,181.09,4889.40,0.00
53,20260409,124,24,29,3,807.07,40.35,2300.15,0.00
54,20260705,121,7,20,3,41369.75,4136.98,111698.32,0.00
55,20261017,52,3,32,5,4212.19,0.00,21060.95,0.00
56,20261014,183,12,12,3,269.11,0.00,807.33,0.00
57,20260611,46,5,30,1,608.05,60.80,547.24,0.00
58,20261104,97,12,34,4,340.25,17.01,1292.95,0.00
59,20260614,134,17,23,3,16268.02,813.40,46363.86,0.00
60,20260709,56,22,5,4,2603.90,260.39,9374.04,0.00
61,20260926,146,6,26,1,4860.09,0.00,4860.09,0.00
62,20260607,13,10,10,1,373.96,0.00,373.96,0.00
63,20260220,86,10,2,3,3061.98,153.10,8726.64,0.00
64,20261116,188,8,26,1,4860.09,486.01,4374.08,0.00
65,20261009,174,15,10,2,373.96,18.70,710.52,0.00
66,20260111,24,20,19,5,18972.21,2845.83,80631.89,0.00
67,20260218,109,23,27,2,4721.70,472.17,8499.06,0.00
68,20260731,45,8,4,5,703.29,0.00,3516.45,0.00
69,20260521,136,13,25,5,2914.87,145.74,13845.63,0.00
70,20260428,108,16,20,5,41369.75,2068.49,196506.31,0.00
71,20260907,69,4,38,2,1104.26,0.00,2208.52,0.00
72,20260222,189,18,2,1,3061.98,306.20,2755.78,0.00
73,20260201,91,4,9,5,278.18,0.00,1390.90,0.00
74,20260313,53,14,35,4,250.64,12.53,952.43,0.00
75,20260720,69,9,21,4,8200.26,820.03,29520.94,0.00
76,20260831,75,1,30,2,608.05,30.40,1155.29,0.00
77,20261008,107,6,20,4,41369.75,2068.49,157205.05,0.00
78,20260825,40,10,39,1,1191.21,0.00,1191.21,0.00
79,20260513,26,6,11,2,508.89,0.00,1017.78,0.00
80,20260608,93,13,29,4,807.07,0.00,3228.28,0.00
81,20260921,109,13,28,1,3150.34,157.52,2992.82,0.00
82,20260522,74,2,23,3,16268.02,813.40,46363.86,0.00
83,20260504,157,22,22,5,3028.92,302.89,13630.14,0.00
84,20260723,185,21,33,1,529.26,26.46,502.80,0.00
85,20260901,110,3,31,3,2187.92,218.79,5907.38,0.00
86,20260730,108,22,34,1,340.25,0.00,340.25,0.00
87,20260209,177,10,37,1,157.45,0.00,157.45,0.00
88,20260928,71,23,10,5,373.96,18.70,1776.31,0.00
89,20261108,70,18,24,2,19390.95,969.55,36842.80,0.00
90,20260119,35,10,38,5,1104.26,0.00,5521.30,0.00
91,20260714,60,12,31,1,2187.92,0.00,2187.92,0.00
92,20260602,101,9,8,1,1136.39,0.00,1136.39,0.00
93,20260516,149,17,14,3,199.76,9.99,569.32,0.00
94,20261225,8,18,19,3,18972.21,948.61,54070.80,0.00
95,20260610,113,24,4,4,703.29,35.16,2672.50,0.00
96,20261006,132,23,15,2,494.31,24.72,939.19,0.00
97,20260128,174,12,26,4,4860.09,486.01,17496.32,0.00
98,20260224,107,4,24,5,19390.95,2908.64,82411.54,0.00
99,20261220,154,5,20,3,41369.75,4136.98,111698.32,0.00
100,20261215,113,17,26,5,4860.09,0.00,24300.45,0.00
101,20260903,184,4,37,5,157.45,23.62,669.16,0.00
102,20260920,123,23,18,1,57972.29,0.00,57972.29,0.00
103,20260113,93,8,5,2,2603.90,260.39,4687.02,0.00
104,20261104,40,11,13,2,392.05,58.81,666.48,0.00
105,20260421,131,7,26,3,4860.09,243.00,13851.26,0.00
106,20260904,30,6,4,1,703.29,70.33,632.96,0.00
107,20260119,111,20,7,3,3413.55,341.36,9216.59,0.00
108,20260102,171,23,37,1,157.45,7.87,149.58,0.00
109,20261128,138,5,23,2,16268.02,0.00,32536.04,0.00
110,20260924,49,1,9,1,278.18,0.00,278.18,0.00
111,20260108,4,9,40,1,633.93,31.70,602.23,0.00
112,20260423,108,8,25,3,2914.87,291.49,7870.15,0.00
113,20260902,56,23,18,4,57972.29,2898.61,220294.70,0.00
114,20260721,122,6,15,1,494.31,49.43,444.88,0.00
115,20260416,102,23,32,1,4212.19,0.00,4212.19,0.00
116,20260826,71,8,17,2,4838.04,241.90,9192.28,0.00
117,20260603,54,20,16,3,505.66,75.85,1289.43,0.00
118,20260303,127,6,14,4,199.76,0.00,799.04,0.00
119,20261017,43,15,40,2,633.93,0.00,1267.86,0.00
120,20260404,159,3,37,2,157.45,7.87,299.15,0.00
121,20261218,111,23,40,1,633.93,0.00,633.93,0.00
122,20261119,198,20,1,4,1810.89,0.00,7243.56,0.00
123,20261226,161,13,20,3,41369.75,4136.98,111698.32,0.00
124,20261209,188,6,27,2,4721.70,236.08,8971.23,0.00
125,20260629,52,4,23,5,16268.02,813.40,77273.10,0.00
126,20261114,92,17,39,2,1191.21,178.68,2025.06,0.00
127,20260310,127,12,24,5,19390.95,0.00,96954.75,0.00
128,20260304,123,14,38,2,1104.26,0.00,2208.52,0.00
129,20261014,181,6,21,5,8200.26,410.01,38951.24,0.00
130,20260111,146,16,18,4,57972.29,0.00,231889.16,0.00
131,20261228,87,15,15,3,494.31,49.43,1334.64,0.00
132,20260225,111,1,33,2,529.26,26.46,1005.59,0.00
133,20260403,127,23,13,5,392.05,19.60,1862.24,0.00
134,20261009,124,5,31,1,2187.92,218.79,1969.13,0.00
135,20260313,123,21,21,1,8200.26,1230.04,6970.22,0.00
136,20261019,109,10,39,3,1191.21,0.00,3573.63,0.00
137,20260524,167,7,36,1,1192.53,0.00,1192.53,0.00
138,20260825,185,1,15,3,494.31,0.00,1482.93,0.00
139,20260926,63,23,40,2,633.93,0.00,1267.86,0.00
140,20260804,37,8,35,5,250.64,12.53,1190.54,0.00
141,20260102,174,18,38,5,1104.26,165.64,4693.11,0.00
142,20261105,182,17,15,5,494.31,24.72,2347.97,0.00
